Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ACCELYA,0,1412.69,1334.4,0,0,-5.54,-2.53
ADANIENT,8,1390.09,1399.25,11194,73.3,0.66,0.18
ARVINDFASN,100,210.71,210.9,21090,19.3,0.09,0.69
CIPLA,10,976.1,895,8950,-811,-8.31,-1.99
COFORGE,2,4750.5,4730.25,9460.5,-40.5,-0.43,0.15
DABUR,36,592.18,595,21420,101.6,0.48,1.07
DLINKINDIA,60,164.25,150.65,9039,-816,-8.28,-1.5
DMART,6,3459.9,3468.45,20810.7,51.3,0.25,-0.88
ECLERX,2,2239.9,2081,4162,-317.8,-7.09,-2.97
EQUITAS,150,135.1,129.05,19357.5,-907.45,-4.48,-2.42
GLAXO,16,1655.59,1612.7,25803.2,-686.3,-2.59,-3.76
HCLTECH,50,1002.96,988,49400,-747.95,-1.49,-1.23
HDFC,10,2541.7,2407.9,24079,-1338,-5.26,-2.29
HDFCLIFE,10,717.53,664.7,6647,-528.3,-7.36,-0.62
ICICIBANK,10,664.15,673.15,6731.5,90,1.36,-0.66
INDIACEM,0,195.85,190.5,0,0,-2.73,-1.45
INFY*,47,1588.77,1595.5,74988.5,316.45,0.42,-0.44
IRCTC,5,2385.95,2282,11410,-519.75,-4.36,-0.59
ITI,70,138.45,125.2,8764,-927.5,-9.57,-1.34
JSL,1,122.45,152.6,152.6,30.15,24.62,-1.83
KPITTECH,125,283.53,286.9,35862.5,421.05,1.19,-2.38
LT,7,1616.99,1590,11130,-188.95,-1.67,-1.13
LTI,1,4399.55,4308.85,4308.85,-90.7,-2.06,-0.97
MAHLOG,55,598.24,608.6,33473,569.75,1.73,0.26
MASTEK,2,2526.5,2560.4,5120.8,67.8,1.34,-2.35
MINDTREE,9,2728.71,2707.55,24367.95,-190.45,-0.78,-0.24
MPHASIS,5,2507.95,2576.75,12883.75,344,2.74,-0.76
NATIONALUM,130,90.45,84.7,11011,-747.5,-6.36,-2.81
NEOGEN,10,905.81,900.65,9006.5,-51.6,-0.57,-1.18
NUCLEUS,7,686.45,690.05,4830.35,25.2,0.52,-1.03
OFSS,4,4038.16,4253,17012,859.35,5.32,1.98
PERSISTENT,10,2957,3106.95,31069.5,1499.52,5.07,-1.78
PETRONET,1,223.45,217,217,-6.45,-2.89,-0.85
PFC,90,125.03,126.15,11353.5,101,0.9,1.82
POWERGRID,1,229.2,228.05,228.05,-1.15,-0.5,-1.74
RADICO,35,834.54,834.15,29195.25,-13.6,-0.05,0.93
RAMCOSYS,14,657.97,624.85,8747.9,-463.69,-5.03,-1.68
RPSGVENT,15,748.36,721.7,10825.5,-399.9,-3.56,-2.84
SONATSOFTW,40,807.94,758,30320,-1997.5,-6.18,-0.75
SRTRANSFIN,7,1453.15,1369.15,9584.05,-588,-5.78,0.25
SUNPHARMA,15,690.25,686.3,10294.5,-59.25,-0.57,-2.43
TATACOFFEE,50,203.95,240.15,12007.5,1810.05,17.75,2.02
TATACOMM,8,1370,1414.15,11313.2,353.2,3.22,4.91
TATACONSUM,0,773.6,757.9,0,0,-2.03,-1.54
TATAINVEST,0,1160.06,1129.7,0,0,-2.62,-1.37
TATAMETALI,10,1273.3,1300.55,13005.5,272.5,2.14,0.36
TATASTEEL,10,1287.15,1334,13340,468.5,3.64,0.25
TCS,8,3210.44,3175.75,25406,-277.5,-1.08,-0.23
TECHM,34,1120.22,1123.65,38204.1,116.45,0.31,0.13
UJJIVAN,85,245.3,240.45,20438.25,-412.1,-1.98,-0.15
MCDOWELL-N,0,671.73,634.95,0,0,-5.48,-1.48
UTTAMSUGAR-BE,90,225.45,223,20070,-220.5,-1.09,-2.15
VINATIORGA,5,1975,1917.7,9588.5,-286.5,-2.9,-0.3
WIPRO,53,579.17,588.4,31185.2,488.95,1.59,-0.52
